"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","03-Apr-2017","        280.30","        282.80","        283.60","        278.65","        282.40","        281.55","        281.00","    7228785","          2031276121.80","      49331","    4858726","         67.21"
"ITC","EQ","05-Apr-2017","        281.55","        283.20","        283.50","        277.70","        278.20","        278.95","        279.11","   10288783","          2871657782.50","     105889","    7720313","         75.04"
"ITC","EQ","06-Apr-2017","        278.95","        278.20","        279.15","        273.20","        274.00","        274.10","        274.82","   15641571","          4298674284.05","     101169","   12668402","         80.99"
"ITC","EQ","07-Apr-2017","        274.10","        273.00","        274.15","        270.90","        272.85","        272.65","        272.85","    9128592","          2490711961.05","     105482","    6909844","         75.69"
"ITC","EQ","10-Apr-2017","        272.65","        275.00","        275.00","        272.10","        273.00","        273.55","        273.35","    5476450","          1496977008.75","      66737","    4089387","         74.67"
"ITC","EQ","11-Apr-2017","        273.55","        273.10","        282.60","        271.80","        281.85","        282.05","        279.41","   10934606","          3055206759.15","     100682","    7562177","         69.16"
"ITC","EQ","12-Apr-2017","        282.05","        281.70","        284.80","        279.55","        281.60","        281.90","        281.97","    7229006","          2038341617.70","      87733","    4761852","         65.87"
"ITC","EQ","13-Apr-2017","        281.90","        281.90","        282.00","        277.50","        278.15","        279.15","        279.88","    3934247","          1101122069.50","      42179","    2601714","         66.13"
"ITC","EQ","17-Apr-2017","        279.15","        276.55","        282.50","        275.55","        279.25","        279.10","        279.65","    4831017","          1350987932.70","      52542","    2606078","         53.94"
"ITC","EQ","18-Apr-2017","        279.10","        280.20","        284.00","        278.10","        279.70","        279.05","        280.86","    4330981","          1216388968.35","      54617","    2388651","         55.15"
"ITC","EQ","19-Apr-2017","        279.05","        281.15","        281.50","        277.85","        279.70","        278.70","        279.03","    4952956","          1382038352.05","      99085","    3412896","         68.91"
"ITC","EQ","20-Apr-2017","        278.70","        279.70","        281.50","        278.35","        280.45","        279.50","        279.30","    4237611","          1183575205.60","      50138","    2792835","         65.91"
"ITC","EQ","21-Apr-2017","        279.50","        282.00","        282.00","        272.70","        275.15","        274.35","        275.77","    8706432","          2401007955.25","      73893","    6220258","         71.44"
"ITC","EQ","24-Apr-2017","        274.35","        276.40","        277.55","        271.15","        276.80","        276.75","        273.82","    7118774","          1949288881.65","      66327","    4354952","         61.18"
"ITC","EQ","25-Apr-2017","        276.75","        278.00","        282.00","        273.90","        281.60","        281.30","        278.89","   12721177","          3547867166.40","      78124","    9470162","         74.44"
"ITC","EQ","26-Apr-2017","        281.30","        283.30","        292.90","        282.00","        291.10","        290.90","        288.38","   18942043","          5462564840.50","     107826","   12105996","         63.91"
